orders,talabat_week,order_year,order_month,order_day,dayofyear,quarter
819,3,2021,9,1,244,3
856,4,2021,9,2,245,3
837,5,2021,9,3,246,3
845,6,2021,9,4,247,3
847,0,2021,9,5,248,3
815,1,2021,9,6,249,3
771,2,2021,9,7,250,3
841,3,2021,9,8,251,3
859,4,2021,9,9,252,3
871,5,2021,9,10,253,3
740,6,2021,9,11,254,3
792,0,2021,9,12,255,3
878,1,2021,9,13,256,3
850,2,2021,9,14,257,3
790,3,2021,9,15,258,3
837,4,2021,9,16,259,3
856,5,2021,9,17,260,3
845,6,2021,9,18,261,3
810,0,2021,9,19,262,3
812,1,2021,9,20,263,3
820,2,2021,9,21,264,3
873,3,2021,9,22,265,3
890,4,2021,9,23,266,3
850,5,2021,9,24,267,3
815,6,2021,9,25,268,3
807,0,2021,9,26,269,3
873,1,2021,9,27,270,3
900,2,2021,9,28,271,3
790,3,2021,9,29,272,3
905,4,2021,9,30,273,3
837,5,2021,10,1,274,4
790,6,2021,10,2,275,4
777,0,2021,10,3,276,4
819,1,2021,10,4,277,4
869,2,2021,10,5,278,4
824,3,2021,10,6,279,4
792,4,2021,10,7,280,4
835,5,2021,10,8,281,4
823,6,2021,10,9,282,4
786,0,2021,10,10,283,4
859,1,2021,10,11,284,4
870,2,2021,10,12,285,4
765,3,2021,10,13,286,4
811,4,2021,10,14,287,4
848,5,2021,10,15,288,4
822,6,2021,10,16,289,4
796,0,2021,10,17,290,4
775,1,2021,10,18,291,4
817,2,2021,10,19,292,4
806,3,2021,10,20,293,4
872,4,2021,10,21,294,4
777,5,2021,10,22,295,4
820,6,2021,10,23,296,4
838,0,2021,10,24,297,4
790,1,2021,10,25,298,4
880,2,2021,10,26,299,4
841,3,2021,10,27,300,4
853,4,2021,10,28,301,4
895,5,2021,10,29,302,4
843,6,2021,10,30,303,4
857,0,2021,10,31,304,4
765,1,2021,11,1,305,4
780,2,2021,11,2,306,4
818,3,2021,11,3,307,4
809,4,2021,11,4,308,4
937,5,2021,11,5,309,4
789,6,2021,11,6,310,4
809,0,2021,11,7,311,4
750,1,2021,11,8,312,4
830,2,2021,11,9,313,4
747,3,2021,11,10,314,4
779,4,2021,11,11,315,4
887,5,2021,11,12,316,4
815,6,2021,11,13,317,4
736,0,2021,11,14,318,4
734,1,2021,11,15,319,4
773,2,2021,11,16,320,4
784,3,2021,11,17,321,4
874,4,2021,11,18,322,4
900,5,2021,11,19,323,4
798,6,2021,11,20,324,4
710,0,2021,11,21,325,4
701,1,2021,11,22,326,4
792,2,2021,11,23,327,4
825,3,2021,11,24,328,4
828,4,2021,11,25,329,4
828,5,2021,11,26,330,4
764,6,2021,11,27,331,4
779,0,2021,11,28,332,4
719,1,2021,11,29,333,4
795,2,2021,11,30,334,4
764,3,2021,12,1,335,4
800,4,2021,12,2,336,4
785,5,2021,12,3,337,4
752,6,2021,12,4,338,4
746,0,2021,12,5,339,4
728,1,2021,12,6,340,4
757,2,2021,12,7,341,4
839,3,2021,12,8,342,4
761,4,2021,12,9,343,4
824,5,2021,12,10,344,4
736,6,2021,12,11,345,4
670,0,2021,12,12,346,4
753,1,2021,12,13,347,4
796,2,2021,12,14,348,4
785,3,2021,12,15,349,4
782,4,2021,12,16,350,4
826,5,2021,12,17,351,4
789,6,2021,12,18,352,4
701,0,2021,12,19,353,4
739,1,2021,12,20,354,4
739,2,2021,12,21,355,4
788,3,2021,12,22,356,4
807,4,2021,12,23,357,4
840,5,2021,12,24,358,4
789,6,2021,12,25,359,4
794,0,2021,12,26,360,4
769,1,2021,12,27,361,4
770,2,2021,12,28,362,4
840,3,2021,12,29,363,4
780,4,2021,12,30,364,4
822,5,2021,12,31,365,4
769,6,2022,1,1,1,1
793,0,2022,1,2,2,1
